method,method_label,iteration,point_idx,global_id,v0_mean,tau,A,R_safety,density,flow_ratio,y_simulated,y_std,dist_to_bound,is_boundary
M0_Random,M0: Random Baseline,1,14,M0_Random_i1_p14,1.3831,0.4904,11.0169,1.5053,0.4785,0.1840,9.7554,2.4388,0.0339,YES
M0_Random,M0: Random Baseline,1,15,M0_Random_i1_p15,1.5449,0.6026,25.9796,1.0273,0.1453,0.0563,7.4688,0.6639,0.0504,NO
M0_Random,M0: Random Baseline,1,16,M0_Random_i1_p16,0.8750,0.3590,21.7802,1.2169,0.5541,0.3477,14.7494,1.7349,0.0938,NO
M0_Random,M0: Random Baseline,1,17,M0_Random_i1_p17,0.8533,0.5828,34.4881,0.8781,0.3274,0.1690,13.5030,0.9754,0.0666,NO
M0_Random,M0: Random Baseline,1,18,M0_Random_i1_p18,1.5229,0.3391,17.0520,1.4646,0.8224,0.4850,9.7901,3.3952,0.0299,YES
M0_Random,M0: Random Baseline,1,19,M0_Random_i1_p19,1.3613,0.7679,32.1323,1.1930,0.6985,0.3646,12.2867,2.2202,0.0642,NO
M0_Random,M0: Random Baseline,1,20,M0_Random_i1_p20,1.0180,0.5096,19.3780,1.3514,0.2405,0.0399,11.4479,1.1846,0.0798,NO
M0_Random,M0: Random Baseline,2,1,M0_Random_i2_p1,0.9644,0.3401,24.7104,0.8038,0.3491,0.1679,11.6585,0.5546,0.0047,YES
M0_Random,M0: Random Baseline,2,2,M0_Random_i2_p2,1.4740,0.6259,34.5965,1.5549,0.7936,0.2812,10.4091,1.8986,0.0564,NO
M0_Random,M0: Random Baseline,2,3,M0_Random_i2_p3,1.3399,0.4334,13.3463,1.0819,0.5619,0.4051,8.9782,0.2173,0.1115,NO
M0_Random,M0: Random Baseline,2,4,M0_Random_i2_p4,1.0499,0.7807,30.7325,1.3330,0.1034,0.0418,11.6250,1.6532,0.0037,YES
M0_Random,M0: Random Baseline,2,5,M0_Random_i2_p5,1.1196,0.5234,36.5316,1.2379,0.2776,0.2066,10.1425,0.6816,0.1156,NO
M0_Random,M0: Random Baseline,2,6,M0_Random_i2_p6,1.2171,0.6754,19.1423,1.1894,0.7226,0.3511,11.9614,2.7096,0.2492,NO
M0_Random,M0: Random Baseline,2,7,M0_Random_i2_p7,1.5940,0.3677,25.4021,1.4723,0.9692,0.4753,14.5807,3.6632,0.0075,YES
M0_Random,M0: Random Baseline,2,8,M0_Random_i2_p8,0.8911,0.5832,15.5127,0.9238,0.5102,0.0808,13.1397,1.0374,0.1139,NO
M0_Random,M0: Random Baseline,2,9,M0_Random_i2_p9,0.8372,0.4792,27.0182,1.1310,0.8343,0.0134,14.4058,0.9527,0.0268,YES
M0_Random,M0: Random Baseline,2,10,M0_Random_i2_p10,1.5277,0.7562,17.1907,1.2791,0.3928,0.4313,8.9121,1.8214,0.0876,NO
M0_Random,M0: Random Baseline,2,11,M0_Random_i2_p11,1.2616,0.3216,38.1477,0.9591,0.1752,0.3053,8.7970,0.6289,0.0432,YES
M0_Random,M0: Random Baseline,2,12,M0_Random_i2_p12,1.1517,0.6620,20.8203,1.4072,0.6307,0.1372,12.7581,3.1449,0.2409,NO
M0_Random,M0: Random Baseline,2,13,M0_Random_i2_p13,1.0789,0.4194,11.7398,1.5156,0.6784,0.1150,12.3005,2.0047,0.0580,NO
M0_Random,M0: Random Baseline,2,14,M0_Random_i2_p14,1.3814,0.5802,29.0705,0.8633,0.2374,0.4393,8.1064,0.3903,0.0792,NO
M0_Random,M0: Random Baseline,2,15,M0_Random_i2_p15,1.4043,0.5147,23.1039,1.4000,0.4418,0.3134,9.9531,2.1142,0.2446,NO
M0_Random,M0: Random Baseline,2,16,M0_Random_i2_p16,0.9073,0.7370,32.9345,1.0477,0.8969,0.2392,15.9085,2.7910,0.1146,NO
M0_Random,M0: Random Baseline,2,17,M0_Random_i2_p17,0.9307,0.5028,16.3760,1.4807,0.1432,0.4594,12.2438,1.3865,0.0480,YES
M0_Random,M0: Random Baseline,2,18,M0_Random_i2_p18,1.4340,0.7170,28.0524,0.9294,0.6058,0.0961,8.0361,0.5860,0.1618,NO
M0_Random,M0: Random Baseline,2,19,M0_Random_i2_p19,1.3549,0.4076,20.2401,1.2088,0.8100,0.2220,10.1165,1.2483,0.2112,NO
M0_Random,M0: Random Baseline,2,20,M0_Random_i2_p20,1.0586,0.5604,39.4166,1.1575,0.3616,0.3353,11.6464,0.9408,0.0194,YES
M0_Random,M0: Random Baseline,3,1,M0_Random_i3_p1,1.1388,0.3987,23.1513,1.1700,0.5114,0.2809,10.7963,0.6986,0.1975,NO
M0_Random,M0: Random Baseline,3,2,M0_Random_i3_p2,1.3114,0.7278,31.0006,1.3033,0.9726,0.0265,9.2843,0.6496,0.0304,YES
M0_Random,M0: Random Baseline,3,3,M0_Random_i3_p3,1.4380,0.4937,10.7432,0.8200,0.5910,0.1796,8.3397,0.8388,0.0248,YES
M0_Random,M0: Random Baseline,3,4,M0_Random_i3_p4,0.8121,0.5708,33.1273,1.4531,0.1232,0.4252,14.5238,2.7889,0.0152,YES
M0_Random,M0: Random Baseline,3,5,M0_Random_i3_p5,0.9785,0.4351,28.1287,1.5040,0.2855,0.3282,13.0944,3.3538,0.1200,NO
M0_Random,M0: Random Baseline,3,6,M0_Random_i3_p6,1.5714,0.6372,20.5173,0.9693,0.7537,0.0827,7.5013,0.4425,0.0358,YES
M0_Random,M0: Random Baseline,3,7,M0_Random_i3_p7,1.2793,0.3401,37.7572,1.2540,0.8117,0.2425,10.4517,1.9991,0.0748,NO
M0_Random,M0: Random Baseline,3,8,M0_Random_i3_p8,1.0705,0.7942,15.6037,1.0191,0.3509,0.4970,12.6555,2.2157,0.0060,YES
M0_Random,M0: Random Baseline,3,9,M0_Random_i3_p9,1.0323,0.5444,38.5738,0.9212,0.8986,0.3923,13.3307,2.7495,0.0475,YES
M0_Random,M0: Random Baseline,3,10,M0_Random_i3_p10,1.2175,0.5903,15.7246,1.5553,0.4870,0.1456,10.1640,1.0706,0.0559,NO
M0_Random,M0: Random Baseline,3,11,M0_Random_i3_p11,1.5315,0.3869,25.6712,1.0712,0.2039,0.0566,7.5092,0.5979,0.0856,NO
M0_Random,M0: Random Baseline,3,12,M0_Random_i3_p12,0.9183,0.6848,18.2872,1.2051,0.6088,0.3099,16.9656,4.7090,0.1479,NO
M0_Random,M0: Random Baseline,3,13,M0_Random_i3_p13,0.8973,0.3205,12.9733,1.3560,0.6726,0.4669,15.8830,3.1703,0.0410,YES
M0_Random,M0: Random Baseline,3,14,M0_Random_i3_p14,1.4529,0.7434,35.5847,1.1205,0.2681,0.2135,8.0075,0.6870,0.1131,NO
M0_Random,M0: Random Baseline,3,15,M0_Random_i3_p15,1.3981,0.4780,23.0304,1.4060,0.4245,0.1156,8.9600,1.2170,0.2312,NO
M0_Random,M0: Random Baseline,3,16,M0_Random_i3_p16,1.1521,0.6489,30.1840,0.8703,0.8365,0.3622,11.9912,1.2243,0.0879,NO
M0_Random,M0: Random Baseline,3,17,M0_Random_i3_p17,1.1915,0.4700,17.1667,1.2934,0.1298,0.2025,9.2675,0.7144,0.0331,YES
M0_Random,M0: Random Baseline,3,18,M0_Random_i3_p18,1.3579,0.6721,39.7849,1.0335,0.5686,0.4491,10.2185,0.9079,0.0072,YES
M0_Random,M0: Random Baseline,3,19,M0_Random_i3_p19,1.4906,0.3130,18.8228,1.5432,0.9677,0.3507,10.5512,2.9594,0.0261,YES
M0_Random,M0: Random Baseline,3,20,M0_Random_i3_p20,0.8588,0.7671,25.9687,0.9835,0.5355,0.0973,14.3788,1.1615,0.0658,NO
